surface,letters,count,kind,reusable,seen_in,example_clue,example_answer
one,I,12,roman,yes,20260701-20D; 20260706-7D; 20260706-9A; 20260707-15A; 20260711-19A,Rescue one that’s been crushed by digger,DELIVER
a,A,7,other,yes,20260703-17D; 20260714-6A; 20260716-12A; 20260716-22D; 20260716-3D,Car missing rear end blocking road over a Welsh river,RHONDDA
english,E,7,abbreviation,yes,20260629-19D; 20260701-4A; 20260704-15D; 20260707-8D; 20260715-8D,Bill eats fruit out of English tree,ALMOND
book,B,6,abbreviation,yes,20260704-3D; 20260708-5D; 20260715-12A; 20260717-7D; 20260721-17D,"Came by omnibus book, second-hand",BUSED
left,L,6,abbreviation,yes,20260630-10A; 20260704-17D; 20260706-5D; 20260711-25A; 20260718-14A,"Soldiers left Lima, fleeing from floozy",TROOP
new,N,6,abbreviation,yes,20260629-24D; 20260701-8D; 20260702-18A; 20260704-2D; 20260706-14A,Mum! New fella?,MAN
i,I,5,single-letter,yes,20260716-1D; 20260716-21D; 20260718-15D; 20260718-19D; 20260720-14D,"I throw up over match official, one Simon",BOLIVAR
liberal,L,5,abbreviation,yes,20260701-6D; 20260704-22A; 20260707-19D; 20260714-6A; 20260715-2D,Unsound victory buries Liberal prime minister,BALDWIN
nothing,O,5,single-letter,yes,20260630-25A; 20260710-26D; 20260716-14D; 20260721-23D; 20260724-11A,Nothing for you in marriage — it causes tears,ONION
wife,W,5,abbreviation,yes,20260703-11A; 20260707-25A; 20260710-27A; 20260717-13A; 20260718-28A,"Dad, mature, with wife leaving Chicago?",POPGROUP
area,A,4,abbreviation,yes,20260716-10A; 20260717-18A; 20260720-1D; 20260723-5A,Displaced area in girl’s haunches and in the waist,AMIDSHIPS
cold,C,4,single-letter,yes,20260629-9A; 20260716-26A; 20260718-15A; 20260723-18D,Family snatch cold cuts and seafood,KINGCRAB
current,I,4,single-letter,yes,20260630-18D; 20260715-11A; 20260720-10A; 20260721-11A,Short people collectively bolstered by current swimsuit style,MANKINI
democrat,D,4,abbreviation,yes,20260707-18D; 20260714-17A; 20260720-23A; 20260723-24D,"Uncouth, rather rowdy: time to replace Democrat",LOUTISH
