indicator,signals,count,seen_in,example_clue
in,insertion,32,20260630-2D; 20260630-7D; 20260704-16A; 20260704-29A; 20260706-1D,Wind getting up in film of the ocean
in,link,16,20260702-10A; 20260702-1A; 20260707-1D; 20260709-9A; 20260713-19A,Tie in school ultimately non-negotiable
for,link,12,20260630-25A; 20260630-5D; 20260704-24D; 20260707-24A; 20260710-12A,Nothing for you in marriage — it causes tears
on,link,12,20260707-11D; 20260710-10A; 20260711-19A; 20260715-18D; 20260716-24A,Deprived character of duck meat on bread roll
and,link,10,20260704-4A; 20260707-3D; 20260707-6D; 20260711-2D; 20260713-7D,I’m tops — and I’m suffering positivity?
about,container,7,20260707-8D; 20260715-15D; 20260715-19A; 20260715-9A; 20260716-2D,"Essential fact about English team, Reading perhaps"
around,container,7,20260629-1A; 20260706-9A; 20260709-17D; 20260709-24A; 20260715-17A,"Around noon, day before, say Black Prince danced with her"
finally,selection,6,20260709-20D; 20260713-2D; 20260715-21A; 20260716-8D; 20260718-20A,Top judge finally back in Ireland
almost,deletion,5,20260630-16D; 20260701-18A; 20260706-3A; 20260715-18D; 20260723-20D,Retired chap and ex-PM almost go to war
middle of,selection,5,20260706-12A; 20260706-2D; 20260709-15D; 20260716-23D; 20260723-3D,"Cleanser in middle of kitchen getting on with stuff, filled with energy"
regularly,selection,5,20260629-18D; 20260630-5D; 20260708-2D; 20260713-7D; 20260718-6D,"US writer, dear, popular, regularly wears silk"
about,anagram,4,20260708-20A; 20260713-1A; 20260721-10A; 20260723-4D,Share tweet about being adored
about,reversal,4,20260710-17A; 20260715-25A; 20260723-21D; 20260723-5D,Feel embarrassed somewhat about scrap
after,link,4,20260704-14A; 20260717-18A; 20260718-19D; 20260720-23A,Not entirely well after reverse of healthy snack
during,insertion,4,20260710-21D; 20260711-11A; 20260714-3D; 20260718-25A,Helping served up during pub’s spicy meal
initially,selection,4,20260630-4D; 20260704-7D; 20260708-7D; 20260723-25A,Old man scowls after initially referencing <i>Chambers</i>
leaving,deletion,4,20260703-11A; 20260709-15D; 20260717-2D; 20260718-23D,"Dad, mature, with wife leaving Chicago?"
mostly,deletion,4,20260714-6D; 20260716-26A; 20260721-20D; 20260723-14D,Red meat course mostly terrible
outside,container,4,20260704-13A; 20260707-12A; 20260720-1D; 20260721-4A,Misuse needles right outside former church
over,link,4,20260703-17D; 20260706-1D; 20260716-1D; 20260722-19D,Car missing rear end blocking road over a Welsh river
short,deletion,4,20260630-18D; 20260711-23A; 20260717-18A; 20260723-15A,Short people collectively bolstered by current swimsuit style
taking,insertion,4,20260706-25A; 20260710-2D; 20260711-23A; 20260714-6A,Paint holy man taking Mass
up,reversal,4,20260714-7D; 20260716-1D; 20260717-16D; 20260723-1D,Islander from Lindisfarne set laminator up
upset,reversal,4,20260710-5D; 20260711-8D; 20260715-4D; 20260721-21D,Estate possibly blocking two thirds of Midland city upset intimidating figure in his field?
